,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,2007,104,Area Harvested,118.0,Millet,4094940,,,102,Ha
1,2007,104,Area Harvested,114.0,Sorghum,4214570,,,102,Ha
2,2004,104,Area Harvested,1540.0,Yams,2084720,,,102,Ha
3,2004,104,Area Harvested,1701.0,"Beans, dry",2154722,,,102,Ha
4,2004,104,Area Harvested,112.0,Maize (corn),3134660,,,102,Ha
5,2004,104,Area Harvested,1921.02,"Cotton lint, ginned",285450,,,102,Ha
6,2004,104,Area Harvested,113.0,Rice,1346520,,,102,Ha
7,2004,104,Area Harvested,1520.0,Cassava,2499800,,,102,Ha
8,2004,104,Area Harvested,1550.0,Taro,288740,,,102,Ha
9,2004,104,Area Harvested,1449.01,Melonseed,494500,,,102,Ha
10,2005,104,Area Harvested,114.0,Sorghum,3956710,,,102,Ha
11,2005,104,Area Harvested,118.0,Millet,3835580,,,102,Ha
12,2005,104,Area Harvested,1701.0,"Beans, dry",2153510,,,102,Ha
13,2005,104,Area Harvested,142.0,"Groundnuts, excluding shelled",2152960,,,102,Ha
14,2005,104,Area Harvested,1921.02,"Cotton lint, ginned",307370,,,102,Ha
15,2005,104,Area Harvested,1540.0,Yams,2060800,,,102,Ha
