,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,2007,104,Area Harvested,1921.02,"Cotton lint, ginned",366950,,,102,Ha
1,2007,104,Area Harvested,1540.0,Yams,2309940,,,102,Ha
2,2007,104,Area Harvested,1701.0,"Beans, dry",2459830,,,102,Ha
3,2007,104,Area Harvested,142.0,"Groundnuts, excluding shelled",2203450,,,102,Ha
4,2007,104,Area Harvested,1449.01,Melonseed,528410,,,102,Ha
5,2007,104,Area Harvested,113.0,Rice,1640730,,,102,Ha
6,2007,104,Area Harvested,1520.0,Cassava,2854440,,,102,Ha
7,2007,104,Area Harvested,112.0,Maize (corn),3349380,,,102,Ha
8,2008,104,Area Harvested,142.0,"Groundnuts, excluding shelled",2337130,,,102,Ha
9,2008,104,Area Harvested,114.0,Sorghum,4112840,,,102,Ha
10,2008,104,Area Harvested,118.0,Millet,3824520,,,102,Ha
11,2007,104,Area Harvested,1550.0,Taro,394110,,,102,Ha
12,2008,104,Area Harvested,112.0,Maize (corn),3171580,,,102,Ha
13,2008,104,Area Harvested,1921.02,"Cotton lint, ginned",382090,,,102,Ha
