,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,1999,104,Area Harvested,113.0,Rice,1549932,,,102,Ha
1,1999,104,Area Harvested,1449.01,Melonseed,388460,,,102,Ha
2,1999,104,Area Harvested,112.0,Maize (corn),3279950,,,102,Ha
3,1999,104,Area Harvested,1520.0,Cassava,2549760,,,102,Ha
4,1999,104,Area Harvested,1540.0,Yams,2093580,,,102,Ha
5,1999,104,Area Harvested,1921.02,"Cotton lint, ginned",309830,,,102,Ha
6,1999,104,Area Harvested,142.0,"Groundnuts, excluding shelled",2177614,,,102,Ha
7,1999,104,Area Harvested,1701.0,"Beans, dry",2863775,,,102,Ha
8,1999,104,Area Harvested,118.0,Millet,3670550,,,102,Ha
9,1999,104,Area Harvested,114.0,Sorghum,4638440,,,102,Ha
10,1998,104,Area Harvested,1449.01,Melonseed,461310,,,102,Ha
11,1998,104,Area Harvested,1550.0,Taro,304910,,,102,Ha
12,1998,104,Area Harvested,1520.0,Cassava,2473912,,,102,Ha
13,1998,104,Area Harvested,113.0,Rice,1469341,,,102,Ha
14,1998,104,Area Harvested,1921.02,"Cotton lint, ginned",358090,,,102,Ha
15,1998,104,Area Harvested,112.0,Maize (corn),2851140,,,102,Ha
16,2001,104,Area Harvested,1701.0,"Beans, dry",2432046,,,102,Ha
17,2001,104,Area Harvested,142.0,"Groundnuts, excluding shelled",2118630,,,102,Ha
18,2001,104,Area Harvested,114.0,Sorghum,3986430,,,102,Ha
19,2001,104,Area Harvested,118.0,Millet,3695800,,,102,Ha
20,2000,104,Area Harvested,1550.0,Taro,243710,,,102,Ha
21,2000,104,Area Harvested,1449.01,Melonseed,376420,,,102,Ha
